estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, lga_name_2019, yr, lga_code_2019
54353,Albury,2019,10050
30779,Armidale Regional ,2019,10130
44628,Ballina,2019,10250
2338,Balranald,2019,10300
43618,Bathurst Regional,2019,10470
178396,Bayside ,2019,10500
1611,Brewarrina ,2019,11200
34476,Bega Valley ,2019,10550
12996,Bellingen ,2019,10600
8750,Berrigan ,2019,10650
101437,Camden ,2019,11450
374451,Blacktown ,2019,10750
5972,Bland ,2019,10800
7379,Blayney ,2019,10850
79118,Blue Mountains ,2019,10900
2580,Bogan ,2019,10950
2590,Bourke ,2019,11150
17479,Broken Hill ,2019,11250
35081,Byron ,2019,11350
13634,Cabonne ,2019,11400
40612,Burwood ,2019,11300
170943,Campbelltown  ,2019,11500
2949,Hay ,2019,13850
96074,Canada Bay ,2019,11520
377917,Canterbury-Bankstown ,2019,11570
2799,Carrathool ,2019,11600
343968,Central Coast  ,2019,11650
46926,Strathfield ,2019,17100
1839,Central Darling ,2019,11700
59985,Cessnock ,2019,11720
51662,Clarence Valley ,2019,11730
4658,Cobar ,2019,11750
3285,Lockhart ,2019,14950
77277,Coffs Harbour ,2019,11800
4341,Coolamon ,2019,12000
3958,Coonamble ,2019,12150
11235,Cootamundra-Gundagai Regional ,2019,12160
12743,Cowra ,2019,12350
241521,Cumberland ,2019,12380
53719,Dubbo Regional ,2019,12390
9423,Dungog ,2019,12700
156511,Glen Eira ,2019,22310
9084,Edward River ,2019,12730
38473,Eurobodalla ,2019,12750
211695,Fairfield ,2019,12850
12437,Federation ,2019,12870
9906,Forbes ,2019,12900
159471,Georges River ,2019,12930
1418,Aurukun ,2019,30250
4239,Gilgandra ,2019,12950
8871,Glen Innes Severn ,2019,13010
31132,Goulburn Mulwaree ,2019,13310
10764,Greater Hume Shire ,2019,13340
27029,Griffith ,2019,13450
12681,Gunnedah ,2019,13550
266,Barcoo ,2019,30450
5353,Gwydir ,2019,13660
67296,Hawkesbury ,2019,13800
18704,Hilltops ,2019,13910
152059,Hornsby ,2019,14000
14980,Hunters Hill ,2019,14100
200811,Inner West ,2019,14170
16890,Inverell ,2019,14200
6683,Junee ,2019,14300
2560720,Brisbane ,2019,31000
29745,Kempsey ,2019,14350
23386,Kiama ,2019,14400
127153,Ku-ring-gai ,2019,14500
8796,Kyogle ,2019,14550
354,Burke ,2019,31950
6075,Lachlan ,2019,14600
205901,Lake Macquarie ,2019,14650
40155,Lane Cove ,2019,14700
11445,Leeton ,2019,14750
43692,Lismore ,2019,14850
21605,Lithgow ,2019,14870
1977,Carpentaria ,2019,32250
227585,Liverpool ,2019,14900
7903,Liverpool Plains ,2019,14920
85166,Maitland ,2019,15050
93836,Mid-Coast ,2019,15240
25251,Mid-Western Regional ,2019,15270
13261,Moree Plains ,2019,15300
30981,Mosman ,2019,15350
12118,Murray River ,2019,15520
3917,Murrumbidgee ,2019,15560
16377,Muswellbrook ,2019,15650
284,Croydon ,2019,32600
19805,Nambucca ,2019,15700
13135,Narrabri ,2019,15750
5899,Narrandera ,2019,15800
6517,Narromine ,2019,15850
165571,Newcastle ,2019,15900
12367,Douglas ,2019,32810
75021,North Sydney ,2019,15950
273499,Northern Beaches ,2019,15990
5411,Oberon ,2019,16100
42451,Orange ,2019,16150
14837,Parkes ,2019,16200
257197,Parramatta ,2019,16260
212977,Penrith ,2019,16350
793,Etheridge ,2019,33100
84525,Port Macquarie-Hastings ,2019,16380
73481,Port Stephens ,2019,16400
61100,Queanbeyan-Palerang Regional ,2019,16490
155649,Randwick ,2019,16550
23465,Richmond Valley ,2019,16610
131271,Ryde ,2019,16700
73233,Shellharbour ,2019,16900
105648,Shoalhaven ,2019,16950
1117,Hope Vale ,2019,33830
23461,Singleton ,2019,17000
20795,Snowy Monaro Regional ,2019,17040
14479,Snowy Valleys ,2019,17080
230611,Sutherland Shire ,2019,17150
5367206,Sydney ,2019,17200
62541,Tamworth Regional ,2019,17310
6307,Temora ,2019,17350
6594,Tenterfield ,2019,17400
177969,The Hills Shire ,2019,17420
97001,Tweed ,2019,17550
2697,Warren ,2019,17950
